stopwords..en..,
i,pronoun
me,pronoun
my,pronoun
myself,pronoun
we,pronoun
our,pronoun
ours,pronoun
ourselves,pronoun
you,pronoun
your,pronoun
yours,pronoun
yourself,pronoun
yourselves,pronoun
he,pronoun
him,pronoun
his,pronoun
himself,pronoun
she,pronoun
her,pronoun
hers,pronoun
herself,pronoun
it,pronoun
its,pronoun
itself,pronoun
they,pronoun
them,pronoun
their,pronoun
theirs,pronoun
themselves,pronoun
what,pronoun
which,pronoun
who,pronoun
whom,pronoun
this,pronoun
that,pronoun
these,pronoun
those,pronoun
am,verb
is,verb
are,verb
was,verb
were,verb
be,verb
been,verb
being,verb
have,verb
has,verb
had,verb
having,verb
do,verb
does,verb
did,verb
doing,verb
would,verb
should,verb
could,verb
ought,verb
i'm,pronoun+verb
you're,pronoun+verb
he's,pronoun+verb
she's,pronoun+verb
it's,pronoun+verb
we're,pronoun+verb
they're,pronoun+verb
i've,pronoun+verb
you've,pronoun+verb
we've,pronoun+verb
they've,pronoun+verb
i'd,pronoun+verb
you'd,pronoun+verb
he'd,pronoun+verb
she'd,pronoun+verb
we'd,pronoun+verb
they'd,pronoun+verb
i'll,pronoun+verb
you'll,pronoun+verb
he'll,pronoun+verb
she'll,pronoun+verb
we'll,pronoun+verb
they'll,pronoun+verb
isn't,verb+negation
aren't,verb+negation
wasn't,verb+negation
weren't,verb+negation
hasn't,verb+negation
haven't,verb+negation
hadn't,verb+negation
doesn't,verb+negation
don't,verb+negation
didn't,verb+negation
won't,auxilary+negation
wouldn't,auxilary+negation
shan't,auxilary+negation
shouldn't,auxilary+negation
can't,auxilary+negation
cannot,auxilary+negation
couldn't,auxilary+negation
mustn't,auxilary+negation
let's,verb form miscellaneous
that's,verb form miscellaneous
who's,verb form miscellaneous
what's,verb form miscellaneous
here's,verb form miscellaneous
there's,verb form miscellaneous
when's,verb form miscellaneous
where's,verb form miscellaneous
why's,verb form miscellaneous
how's,verb form miscellaneous
a,article
an,article
the,article
and,miscellaneous
but,miscellaneous
if,miscellaneous
or,miscellaneous
because,miscellaneous
as,miscellaneous
until,miscellaneous
while,miscellaneous
of,miscellaneous
at,miscellaneous
by,miscellaneous
for,miscellaneous
with,miscellaneous
about,miscellaneous
against,miscellaneous
between,miscellaneous
into,miscellaneous
through,miscellaneous
during,miscellaneous
before,miscellaneous
after,miscellaneous
above,miscellaneous
below,miscellaneous
to,miscellaneous
from,miscellaneous
up,miscellaneous
down,miscellaneous
in,miscellaneous
out,miscellaneous
on,miscellaneous
off,miscellaneous
over,miscellaneous
under,miscellaneous
again,miscellaneous
further,miscellaneous
then,miscellaneous
once,miscellaneous
here,miscellaneous
there,miscellaneous
when,miscellaneous
where,miscellaneous
why,miscellaneous
how,miscellaneous
all,miscellaneous
any,miscellaneous
both,miscellaneous
each,miscellaneous
few,miscellaneous
more,miscellaneous
most,miscellaneous
other,miscellaneous
some,miscellaneous
such,miscellaneous
no,miscellaneous
nor,miscellaneous
not,miscellaneous
only,miscellaneous
own,miscellaneous
same,miscellaneous
so,miscellaneous
than,miscellaneous
too,miscellaneous
very,miscellaneous
